Name,Price,Rating
"Google Pixel 6a (Chalk, 128 GB)","₹25,999",4.3
"Google Pixel 6a (Charcoal, 128 GB)","₹25,999",4.3
"MOTOROLA Edge 40 (Nebula Green, 256 GB)","₹29,999",4.2
"MOTOROLA Edge 40 (Eclipse Black, 256 GB)","₹29,999",4.2
"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹26,999",4.2
"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)","₹26,999",4.2
"realme 11 Pro+ 5G (Oasis Green, 256 GB)","₹29,999",4.3
"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","₹26,999",4.2
"realme 11 Pro 5G (Astral Black, 256 GB)","₹27,999",4.2
"realme 11 Pro+ 5G (Oasis Green, 256 GB)","₹27,999",4.3
"OnePlus 10R (Sierra Black, 128 GB)","₹29,490",4.3
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹27,999",4.3
"realme 11 Pro+ 5G (Astral Black, 256 GB)","₹29,999",4.3
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹29,999",4.3
"realme 11 Pro+ 5G (Astral Black, 256 GB)","₹27,999",4.3
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹27,999",4.2
"POCO F5 5G (Snowstorm White, 256 GB)","₹26,999",4.3
"realme GT 2 (Paper White, 256 GB)","₹28,999",4.4
"REDMI Note 12 Pro+ 5G (Arctic White, 256 GB)","₹29,999",4.3
"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)","₹29,999",4.3
"MOTOROLA Edge 40 (Lunar Blue, 256 GB)","₹29,999",4.2
"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)","₹29,999",4.3
"Mi 10i (Pacific Sunrise, 128 GB)","₹27,999",4.3
"POCO F5 5G (Electric Blue, 256 GB)","₹29,999",4.2
